id,network,name,state,lat,lon,elevation
02738,rr,Kreuth,Bayern,47.6448,11.7438,776
02740,rr,Kreuth-Glashütte,Bayern,47.6105,11.6462,897
02744,rr,Kreuztal-Eichen,Nordrhein-Westfalen,50.983,7.9682,305
02748,rr,Kröning-Leisteneck,Bayern,48.5501,12.3739,490
02749,rr,Biendorf-Gersdorf,Mecklenburg-Vorpommern,54.0805,11.7425,52
02750,kl,Kronach,Bayern,50.2524,11.3209,310
02754,rr,Kronburg,Bayern,47.9084,10.1514,670
02755,rr,Kroppen,Brandenburg,51.3839,13.7921,110
02759,rr,Krün,Bayern,47.5041,11.2814,873
02763,rr,Norden-Leybuchtpolder,Niedersachsen,53.5039,7.1217,1
02765,rr,Neetzow,Mecklenburg-Vorpommern,53.8819,13.4057,10
02773,kl,Kümmersbruck,Bayern,49.4283,11.9016,416
02778,rr,Küstrin-Kietz,Brandenburg,52.5629,14.6066,13
02779,rr,Kuhbier,Brandenburg,53.1486,12.0851,59
02787,rr,Kupferzell-Rechbach,Baden-Württemberg,49.2428,9.6786,355
02792,rr,Diedorf/Schwaben-Biburg,Bayern,48.3737,10.7605,494
02794,kl,Kyritz,Brandenburg,52.9362,12.4093,40
02796,kl,Laage-Kronskamp,Mecklenburg-Vorpommern,53.9156,12.279,40
02802,rr,"Laasphe, Bad-Hesselbach",Nordrhein-Westfalen,50.8864,8.3685,459
02804,rr,Laatzen-Rethen,Niedersachsen,52.2898,9.813,64
02805,rr,Lachendorf,Niedersachsen,52.6255,10.2496,47
02810,rr,"Lage, Kreis Lippe-Hörste",Nordrhein-Westfalen,51.9446,8.7749,150
02812,kl,Lahr,Baden-Württemberg,48.3647,7.828,156
02814,kl,Merklingen,Baden-Württemberg,48.5122,9.7644,687
02819,rr,Lampertheim-Neuschloß,Hessen,49.6,8.5092,94
02820,rr,Palling-Lampertsham,Bayern,47.9916,12.6858,566
02822,rr,Lamstedt,Niedersachsen,53.6369,9.0979,26
